19-10-18 19:11:47: Fri, 18 Oct 2019 11:11:47 GMT express-session deprecated undefined resave option; provide resave option at app.js:51:9
19-10-18 19:11:47: Fri, 18 Oct 2019 11:11:47 GMT express-session deprecated undefined saveUninitialized option; provide saveUninitialized option at app.js:51:9
19-10-18 19:11:52: Fri, 18 Oct 2019 11:11:52 GMT express-session deprecated undefined resave option; provide resave option at app.js:51:9
19-10-18 19:11:52: Fri, 18 Oct 2019 11:11:52 GMT express-session deprecated undefined saveUninitialized option; provide saveUninitialized option at app.js:51:9
19-10-18 19:13:02: Fri, 18 Oct 2019 11:13:02 GMT express-session deprecated undefined resave option; provide resave option at app.js:51:9
19-10-18 19:13:02: Fri, 18 Oct 2019 11:13:02 GMT express-session deprecated undefined saveUninitialized option; provide saveUninitialized option at app.js:51:9
19-10-18 19:13:06: Fri, 18 Oct 2019 11:13:06 GMT express-session deprecated undefined resave option; provide resave option at app.js:51:9
19-10-18 19:13:06: Fri, 18 Oct 2019 11:13:06 GMT express-session deprecated undefined saveUninitialized option; provide saveUninitialized option at app.js:51:9
19-10-18 19:13:09: Fri, 18 Oct 2019 11:13:09 GMT express-session deprecated undefined resave option; provide resave option at app.js:51:9
19-10-18 19:13:09: Fri, 18 Oct 2019 11:13:09 GMT express-session deprecated undefined saveUninitialized option; provide saveUninitialized option at app.js:51:9
19-10-18 19:13:41: Fri, 18 Oct 2019 11:13:41 GMT express-session deprecated undefined resave option; provide resave option at app.js:51:9
19-10-18 19:13:41: Fri, 18 Oct 2019 11:13:41 GMT express-session deprecated undefined saveUninitialized option; provide saveUninitialized option at app.js:51:9
19-10-18 19:13:44: Fri, 18 Oct 2019 11:13:44 GMT express-session deprecated undefined resave option; provide resave option at app.js:51:9
19-10-18 19:13:44: Fri, 18 Oct 2019 11:13:44 GMT express-session deprecated undefined saveUninitialized option; provide saveUninitialized option at app.js:51:9
19-10-18 19:13:48: Fri, 18 Oct 2019 11:13:48 GMT express-session deprecated undefined resave option; provide resave option at app.js:51:9
19-10-18 19:13:48: Fri, 18 Oct 2019 11:13:48 GMT express-session deprecated undefined saveUninitialized option; provide saveUninitialized option at app.js:51:9
19-10-18 19:14:03: Fri, 18 Oct 2019 11:14:03 GMT express-session deprecated undefined resave option; provide resave option at app.js:51:9
19-10-18 19:14:03: Fri, 18 Oct 2019 11:14:03 GMT express-session deprecated undefined saveUninitialized option; provide saveUninitialized option at app.js:51:9
