19-10-18 19:11:47: Fri, 18 Oct 2019 11:11:47 GMT express-session deprecated undefined resave option; provide resave option at app.js:51:9
19-10-18 19:11:47: Fri, 18 Oct 2019 11:11:47 GMT express-session deprecated undefined saveUninitialized option; provide saveUninitialized option at app.js:51:9
19-10-18 19:11:50: Fri, 18 Oct 2019 11:11:50 GMT express-session deprecated undefined resave option; provide resave option at app.js:51:9
19-10-18 19:11:50: Fri, 18 Oct 2019 11:11:50 GMT express-session deprecated undefined saveUninitialized option; provide saveUninitialized option at app.js:51:9
19-10-18 19:11:53: Fri, 18 Oct 2019 11:11:53 GMT express-session deprecated undefined resave option; provide resave option at app.js:51:9
19-10-18 19:11:53: Fri, 18 Oct 2019 11:11:53 GMT express-session deprecated undefined saveUninitialized option; provide saveUninitialized option at app.js:51:9
19-10-18 19:13:03: Fri, 18 Oct 2019 11:13:03 GMT express-session deprecated undefined resave option; provide resave option at app.js:51:9
19-10-18 19:13:03: Fri, 18 Oct 2019 11:13:03 GMT express-session deprecated undefined saveUninitialized option; provide saveUninitialized option at app.js:51:9
19-10-18 19:13:09: Fri, 18 Oct 2019 11:13:09 GMT express-session deprecated undefined resave option; provide resave option at app.js:51:9
19-10-18 19:13:09: Fri, 18 Oct 2019 11:13:09 GMT express-session deprecated undefined saveUninitialized option; provide saveUninitialized option at app.js:51:9
19-10-18 19:13:44: Fri, 18 Oct 2019 11:13:44 GMT express-session deprecated undefined resave option; provide resave option at app.js:51:9
19-10-18 19:13:44: Fri, 18 Oct 2019 11:13:44 GMT express-session deprecated undefined saveUninitialized option; provide saveUninitialized option at app.js:51:9
19-10-18 19:13:47: Fri, 18 Oct 2019 11:13:47 GMT express-session deprecated undefined resave option; provide resave option at app.js:51:9
19-10-18 19:13:47: Fri, 18 Oct 2019 11:13:47 GMT express-session deprecated undefined saveUninitialized option; provide saveUninitialized option at app.js:51:9
19-10-18 19:14:03: Fri, 18 Oct 2019 11:14:03 GMT express-session deprecated undefined resave option; provide resave option at app.js:51:9
19-10-18 19:14:03: Fri, 18 Oct 2019 11:14:03 GMT express-session deprecated undefined saveUninitialized option; provide saveUninitialized option at app.js:51:9
